"Número de guía","Número de bulto que se va a agregar","Unidad de medida","Detalle de la sustancia UN3373","Detalle del patógeno/virus","Cantidad de embalajes interiores","Estado físico","Cantidad neta por embalaje interior","Detalle de sustancia refrigerante o que sirve para mantener la viabilidad","Número ONU de la sustancia refrigerante si es MP ","Cantidad neta por bulto","Unidad de medida ","Número de bulto"
"888004582614","2","L","SANGRE. SUEROS, ORINAS","CITOMEGALOVIRUS, DENGUE, HISTOPLASMA, CRIPTOCOCO","850","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","2","Kg","2"
"888004582614","1","L","ORINAS, SANGRE ","HISTOPLASMA, TRASLOCACION BCR/ABL","350","Sustancia liquida",,"HIELO SECO ","1845","4","Kg","1"
"888004581624","1","L","SUEROS","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","40","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","2","Kg","1"
"4584864","1","L","SUEROS ","HEPATITIS B ","142","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","1"
"4584864","1","L","SANGRES ","HEPATITIS B ","20","Sustancia liquida",,"GEL REFIGERANTE ","N/A","3","Kg","1"
"4584919","1.2","L","SUEROS ","HEPATITIS B ","142","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","12"
"4584919","1.2","L","SANGRES ","HEPATITIS B ","20","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","12"
"888004588771","1.234567","L","SUEROS ","HEPATITIS B","119","Sustancia liquida",,"DRY ICE ","1845","9","Kg","1,234,567"
"888004588771","1.234567","L","ORINAS","HEPATITIS B ","15","Sustancia liquida",,"DRY ICE ","1845","9","Kg","1,234,567"
"888004588771","1.234567","L","SANGRE","HEPATITIS B ","17","Sustancia liquida",,"DRY ICE ","1845","9","Kg","1,234,567"
"888004588771","1.234567","L","PLASMA","HEPATITIS B","4","Sustancia liquida",,"DRY ICE ","1845","9","Kg","1,234,567"
"888004588771","1.234567","Kg","HECES ","HEPATITIS B ","6","Sustancia solida",,"DRY ICE ","1845","9","Kg","1,234,567"
"888004588771","8.91","L","SUEROS ","HEPATITIS B ","119","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","8,910"
"888004588771","8.91","L","ORINAS","HEPATITIS B","15","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","8,910"
"888004588771","8.91","L","SANGRE","HEPATITIS B ","17","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","8,910"
"888004588771","8.91","L","PLASMA ","HEPATITIS B ","17","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","8,910"
"888004588771","8.91","Kg","HECES ","HEPATITIS B ","6","Sustancia solida",,"GEL REFRIGERANTE ","N/A","3","Kg","8,910"
"888004592503","1","L","LIQUIDO AMNIOTICO","HEPATITS B ","2","Sustancia liquida",,"N/A","N/A","1","Kg","1"
"888004598383","1","L","MUESTRAS BIOLOGICAS ","SANGRE,SUERO ","3","Sustancia liquida",,"GEL REFRIGERANTE ","UN3373","3,4","Kg","1"
"888004601429","1","L","SANGRE - ORINA ","NA","25","Sustancia liquida",,"GEL ","NA","1","Kg","1"
"888004601367","6","L","SUERO  SANGUINEO ","CANCER","36","Sustancia liquida",,"HIELO SECO ","1845","8","Kg","6"
"888004601367","1","L","SUERO SANGUINEO","CANCER","36","Sustancia liquida",,"N/A","N/A","0","N/A","1"
"888004602216","1","L","SANGRE","INFLUENZA VIRUS","1","Sustancia liquida",,"DRY ICE","UN 1845","3","Kg","1"
"888004602216","2","L","SANGRE","INFLUENZA VIRUS","1","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","0,5","Kg","1"
"888004600182","1","L","SANGRE","INFLUENZA VIRUS","1","Sustancia liquida",,"DRY ICE","UN 1845","4","Kg","1"
"888004600182","1","L","SANGRE","INFLUENZA VIRUS","1","Sustancia liquida",,"DRY ICE","UN 1845","2","Kg","1"
"888004604486","1","L","SUEROS","DIABETES ","1","Sustancia liquida",,"HIELO SECO ","1845","6,6","Kg","1"
"888004605414","1","L","PLASMAS ","INVESTIGACION","3","Sustancia liquida",,"HIELO SECO","UN1845","3","Kg","1"
"888004605414","2","L","PLASMAS ","INVESTIGACION","3","Sustancia liquida",,"HIELO SECO","UN1845","3","Kg","1"
"888004605414","3","L","PLASMAS ","INVESTIGACION","3","Sustancia liquida",,"HIELO SECO","UN1845","3","Kg","3"
"888004606143","1","L","ORINA SANGRE TOTAL, SUERO","INVESTIGACION ","1","Sustancia liquida",,"GEL REFRIGERADO","N/A","0,4","Kg","1"
"888004605819","1","L","SUEROS ","HIV ","57","Sustancia liquida",,"GEL REFRIGERANTE ","N/A ","5,49","Kg","1"
"888004605819","1","L","SANGRES ","HIV ","28","Sustancia liquida",,"0","0","0","N/A","0"
"888004606633","1","L","SANGRE SUERO ORINA","INVESTIGACION","1","Sustancia liquida",,"HIELO SECO","UN1845","3","Kg","1"
"888004605819","1","L","ORINAS ","E.COLI ","19","Sustancia liquida",,"0","0","0","N/A","0"
"888004605819","1","L","LIQUIDOS CORPORALES ","TUBERCULOSIS ","9","Sustancia liquida",,"0","0","0","N/A","0"
"888004605819","1","L","TEJIDOS ","TUBERCULOSIS ","3","Sustancia liquida",,"0","0","0","N/A","0"
"888004605819","1","L","ESPUTOS ","TUBERCULOSIS ","13","Sustancia liquida",,"0","0","0","N/A","0"
"888004605819","1","Kg","MATERIA FECAL ","SALMONELLA ","12","Sustancia solida",,"0","0","0","N/A","0"
"888004605819","2","L","SUERO ","HIV ","12","Sustancia liquida",,"HIELO SECO ","1845","2,74","Kg","2"
"888004605819","2","L","PLASMAS ","HIV ENF AUTOINMUNES ","11","Sustancia liquida",,"0","0","0","N/A","0"
"888004605819","2","L","ORINAS ","E.COLI ","1","Sustancia liquida",,"0","0","0","N/A","0"
"888004608508","1","L","SANGRE","CANCER","4","Sustancia liquida",,"N/A","N/A","0","N/A","1"
"888004607878","1","L","SANGRE SUERO ORINA ","INVESTIGACION","2","Sustancia liquida",,"GELK REFRIGERANTE","N/A","1,5","Kg","1"
"888004607878","2","L","SANGRE SUERO ORINA ","INVESTIGACION ","2","Sustancia liquida",,"GEL REFRIGERANTE","N/A","1,5","Kg","1"
"888004611255","1","L","SUEROS","ORTHOFLAVIRUS TOXOSPLASMA ","110","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","1","Kg","1"
"888004611255","1","L","SUEROS","ORTHOFLAVIRUS TOXOSPLASMA ","20","Sustancia liquida",,"DRY ICE","UN 1845","1","Kg","1"
"888004611933","1","L","SANGRE MATERIA FECAL LIQUIDOS CORPORALES ORINA ","INVESTIGACION","3","Sustancia liquida",,"HIELO SECO","UN1845","3","Kg","1"
"888004612005","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","235","Sustancia liquida",,"GEL REFRIEGERANTE","N/A","2","Kg","1"
"888004612005","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","51","Sustancia liquida",,"DRY ICE","UN 18745","2","Kg","1"
"888004612738","1","L","SANGRE, SUEROS, ORINAS","CITOMEGALOVIRUS, HISTOPLASMA","250","Sustancia liquida",,"GEL  REFRIGERANTE ","1845","4","Kg","1"
"888004612738","2","L","SUEROS, ORINAS ","CRIPTOCOCO, HISTOPLASMA ","550","Sustancia liquida",,"1845","HIELO SECO ","4","Kg","1"
"888004612235","1","L","SANGRE MATERIA FECAL ORINA LIQUIDOS","INVESTIGACION","3","Sustancia liquida",,"GEL REFRIGERANTE","N/A","5","Kg","1"
"888004611889","1","L","SUEROS","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","110","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","2","Kg","1"
"888004611889","1","L","SUERO","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","20","Sustancia liquida",,"DR ICE","UN 1845","1","Kg","1"
"888004611889","1","L","SUEROS","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","2","Sustancia liquida",,"GEL REFRIGERANTE","N/A","0,1","Kg","1"
"4614257","1","L","SUEROS","HEPATITIS B ","142","Sustancia liquida",,"GEL REFIGERANTE ","N/A","3","Kg","1"
"4614257","1","L","SANGRE","HEPATITIS B ","20","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","1"
"888004614281","1.2","L","SUEROS ","HEPATITIS B ","142","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","12"
"888004614281","1.2","L","SANGRES","HEPATITIS B ","20","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","12"
