"Número de guía","Número de bulto a agregar","Número del requisito del contenedor específico que le aplica al bulto","Cantidad de animales al interior del bulto","Especie / Tipo (Clase) del animal","Nombre común","Nombre científico","Número apéndice de la CITES","Raza (Únicamente aplica para perros y gatos. Para otro tipo de animal diligencie ""N/A"")","Edad (meses)","¿El animal tiene alguna característica/condición especial en su estado de salud? Ejemplo: Parálisis, heridas, etc.","Diligencie la característica/condición especial en su estado de salud","Propósito del transporte","Peso neto (Kg) - Peso de(l) (los) animal(es)","Peso bruto (Kg) - Peso de(l) (los) animal(es) mas el contenedor","Sexo"
"888005056688","9","51","6","Peces","CAMARONES","CARIDEA","No aplica","N/A","3","No","N/A","No comercial","0.3","25","Macho"
"888005071306","1.2","18","4","Aves","GALLOS VIVOS","GALLUS GALLUS DOMESTIUS","No aplica","N/A","17","No","N/A","No comercial","3.9","23","N/A"
"888005100404","5","1","11","Mamíferos","GATOS","FELIS CATUS","No aplica","N/A","8","No","N/A","No comercial","30.5","15","Hembra"
"8880051000279","1","1","1","Mamíferos","GATO","FELIS CATUS","No aplica","N/A","4","No","N/A","No comercial","1","5","Hembra"
"5105566","1","18","4","Aves","GALLOS DE PELEA ","GALLUS GALLUS DOMESTICOS ","No aplica","N/A","3","No","N/A","No comercial","3.6","12","Macho"
"888005129563","1","18","4","Aves"," GALLOS DE PELEA ","GALLUS GALLUS DOMESTICO ","No aplica","NA","6","No","NA","No comercial","1.5","12","Macho"
"888005129907","1","1","1","Mamíferos","PERRO","Canis lupus familiaris","No aplica","YORSHIRE","7","No","BIEN DE SALUD","No comercial","2","6","Hembra"
"888005129774","3","1","6","Mamíferos","GATOS","FELIS CATUS","No aplica","CRIOLLOS","1","No","N/A","No comercial","14","24","Hembra"
"888005156523","1","1","1","Mamíferos","PERRO","Canis familiaris","No aplica","FRENCHS POODLE","2","No","N/A","Comercial","2","2","Hembra"
"888005156976","1","1","1","Mamíferos","GATO COMUN","FELIX CATUS","No aplica","MESTIZOS","6","No","N/A","No comercial","2","2","Hembra"
"8885164493","1","1","1","Mamíferos","GATO","FELIS CATUS","No aplica","ANGORA","30","No",,"No comercial","4","7","Macho"
"8885164493","2","1","1","Mamíferos","GATO","FELIS CATUS","No aplica","ANGORA","30","No",,"No comercial","4","7","Macho"
"8885164493","3","1","1","Mamíferos","GATO","FELIS CATUS","No aplica","CRIOLLO","18","No",,"No comercial","4","7","Macho"
"888005182346","5","1","10","Mamíferos","GATO","FELIS CATUS ","No aplica","CRIOLLA ","4.14","No","N/A","No comercial","10","18.8","Macho"
"888005183026","5","1","13","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","4.14","No","N/A","No comercial","15","21","Macho"
"888005230717","5","1","11","Mamíferos","GATOS","FELIS CATUS","No aplica","CRIOLLOS","8","No","NINGUNA","Traslado para un zoológico, santuario o centro de rehabilitación","18","28","Macho"
"888005230797","2","18","10","Aves","GALLOS","GALLUS SPP","No aplica","N/A","12","No","NINGUNA","No comercial","12","4","Macho"
"888005230946","1","18","3","Aves","GALLOS","GALLUS SPP","No aplica","N/A","12","No","NINGUNA","No comercial","4","7","Macho"
"888005231268","1","1","1","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","SI","12","No","N/A","No comercial","14","24.8","Hembra"
"888005230729","2","1","4","Mamíferos","GATOS","FELIS CATUS ","No aplica","CRIOLLOS ","4","No","N/A","No comercial","4","8.5","Macho"
"888005232810","5","1","7","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","3.41224","No","N/A","No comercial","24","31.6","Macho"
"888005233829","5","1","9","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","3.45","Sí","1 GATO CON AUSENCIA DE OJO IZQUIERDO (ENUCLEACION)1 GATO CON  ALTERACION NEUROLOGICA  DE ETIOLOGIA POR DETERMINAR  REQUIRE ESTUDIOS  COMPLEMENTARIOS MANEJO HOSPITALARIO Y MONITOREO CONTINUO","No comercial","15.8","22.4","Macho"
"888005234639","4","1","4","Mamíferos","GATO","FELIS CATUS","No aplica","CRIOLLO","24.4","Sí","AUSENCIA DE OJO IZQUIERDO (AUSENCIA DEL GLOBO OCULAR IZQUIERDO )","No comercial","13","23.1","Macho"
"888005258561","5","1","15","Mamíferos","GATO ","FELIS CATUS","No aplica","CRIOLLA ","4","No","N/A","No comercial","15","22.9","Macho"
"888005288148","1","1","1","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","CRIOLLO","2","No","N/A","No comercial","5","15","Macho"
"888005258658","5","1","7","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","4.1214","No","N/a","No comercial","15","22","Macho"
"888005260917","4","16","19","Mamíferos","GALLO","GALLUS SPP","No aplica","N/","16.1415","No","N/A","No comercial","25.5","40.5","Macho"
"888005262710","1","1","1","Mamíferos","PERRO","CANIS FAMILIARI","No aplica","MESTIZO ","72","No","N/A","No comercial","15","24","Macho"
"888005288037","1","18","2","Aves","GALLOS","PHASIDUS SPP","No aplica","N/A","15","No","N/A","No comercial","3.7","6","Macho"
"888005288241","1","1","1","Mamíferos","FELIZ CATUS ","FELIZ SILVESTRI CATUS ","No aplica","BENGALI ","4","No","N/A","Comercial","2","5","Hembra"
"888005288319","1","1","1","Mamíferos","PERRO DOMESTCO","CANIS FAMILIARIS","No aplica","PINSHER","3","No","NA","No comercial","1.6","2.3","Hembra"
"888005288262","1","1","1","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","POMSKY","36","No","N/A","No comercial","12.4","24","Macho"
