"Número de guía","Número de bulto a agregar","Tipo de embalaje","Detalle naturaleza del envío","Peso neto del hielo seco (Kg)","Peso bruto del bulto (Kg)"
"888005082239","1","CAJA NEVERA","HIELO SECO","14.6","15.1"
"888005082239","2","CAJA NEVERA","HIELO SECO","18.6","19.1"
"888005082004","1","SANGRE ","INFLUENZA  VIRUS ","6","8"
"888005085051","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888005086682","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888005086377","1","NEVERA","MUESTRAS BIOLOGICAS ","5","6"
"888005089057","1","CAVA DE ICOPOR ","SANGRE ","2","11"
"888005091197","9","CARTON PRENSADO ","HIELO SECO REFRIGERANDO MUESTRAS BIOLOGICAS CATEGORIA B","3","23"
"888005091513","1","CAJA DE CARTON","HIELO SECO","2","4.5"
"888005092241","1","CARTON ","DRI ICE - HIELO SECO ","4","8"
"888005092775","1","MULTI EMBALAJE","MEDICAMENTOS","3","10"
"888005097967","1","CAJA DE CARTON","HIELO SECO","4","4.85"
"888005098107","5","CAJA DE CARTON ","SUSTRANCIAS BOLOGICAS","9","51.5"
"888005105178","1","CAJA NEVERA","HIELO SECO","8","8.7"
"88800510975","1","POLIETILENO EXPANDIDO","HIELO SECO COMO REFRIGERANTE DE MUESTRA BIOLOCICA CATEGORIA B","3","3"
"888005113409","1","CARTON ","DRI ICE - HIELO SECO ","6","8"
"888005114891","2","CAJA NEVERA","HIELO SECO","2.8","2.95"
"111105112836 ","1","CAJA CARTON","MUESTRAS BIOLOGICAS","2","4"
"888005113741","1","nevera","muestras biologicas ","2","3"
"888005112488","1","CAJA DE CARTON","DRY ICE","1,845","4.7"
"888005112488","2","CAJA DE CARTON","DRY ICE","3","4.7"
"888005116582","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888005117853","1","CARTON PRENSADO ","DIOXIDO DE CARBONO ","5","5.3"
"888005119645","1","SANGRE ","TRYPANOSOMA CRUZI CHAGA ","1","12"
"888005121687","1","CARTON E ICOPOR","HEMOCULTIVOS","4","5.6"
"5123229","1","CABA DE ICOPOR","HIELO SECO","5","13.9"
"888005122851","1","CABA DE ICOPOR","SUERO","1","8.5"
"888005122851","1","CAVA DE ICOPOR ","SUERO ","1","8.5"
"888005127809","1","CAJA DE POLIETILENO","HIELO SECO","9","12.6"
"888005127809","2","CAJA DE POLIETILENO","HIELO SECO","9","12.6"
"888005127809","3","CAJA DE POLIETILENO","HIELO SECO","9","12.6"
